"movie_title","genres","language","content_rating","title_year","imdb_score"
"How to Train Your Dragon ","Adventure|Animation|Family|Fantasy","English","PG",2010,8.2
"Terminator 3: Rise of the Machines ","Action|Sci-Fi","English","R",2003,6.4
"Guardians of the Galaxy ","Action|Adventure|Sci-Fi","English","PG-13",2014,8.1
"Interstellar ","Adventure|Drama|Sci-Fi","English","PG-13",2014,8.6
"Inception ","Action|Adventure|Sci-Fi|Thriller","English","PG-13",2010,8.8
"Godzilla Resurgence ","Action|Adventure|Drama|Horror|Sci-Fi","Japanese","",2016,8.2
"The Hobbit: An Unexpected Journey ","Adventure|Fantasy","English","PG-13",2012,7.9
"The Fast and the Furious ","Action|Crime|Thriller","English","PG-13",2001,6.7
"The Curious Case of Benjamin Button ","Drama|Fantasy|Romance","English","PG-13",2008,7.8
"X-Men: First Class ","Action|Adventure|Sci-Fi","English","PG-13",2011,7.8
"The Hunger Games: Mockingjay - Part 2 ","Adventure|Sci-Fi","English","PG-13",2015,6.6
"The Sorcerer's Apprentice ","Action|Adventure|Family|Fantasy","English","PG",2010,6.1
"Poseidon ","Action|Adventure|Drama|Thriller","English","PG-13",2006,5.6
"Alice Through the Looking Glass ","Adventure|Family|Fantasy","English","PG",2016,6.4
"Shrek the Third ","Adventure|Animation|Comedy|Family|Fantasy","English","PG",2007,6.1
"Warcraft ","Action|Adventure|Fantasy","English","PG-13",2016,7.3
"Terminator Genisys ","Action|Adventure|Sci-Fi","English","PG-13",2015,6.6
"The Chronicles of Narnia: The Voyage of the Dawn Treader ","Adventure|Family|Fantasy","English","PG",2010,6.3
"Pearl Harbor ","Action|Drama|History|Romance|War","English","PG-13",2001,6.1
"Transformers ","Action|Adventure|Sci-Fi","English","PG-13",2007,7.1
"Alexander ","Action|Adventure|Biography|Drama|History|Romance|War","English","R",2004,5.5
"Harry Potter and the Order of the Phoenix ","Adventure|Family|Fantasy|Mystery","English","PG-13",2007,7.5
"Harry Potter and the Goblet of Fire ","Adventure|Family|Fantasy|Mystery","English","PG-13",2005,7.6
"Hancock ","Action|Drama","English","PG-13",2008,6.4
"I Am Legend ","Drama|Horror|Sci-Fi","English","PG-13",2007,7.2
"Charlie and the Chocolate Factory ","Adventure|Comedy|Family|Fantasy","English","PG",2005,6.7
"Ratatouille ","Animation|Comedy|Family|Fantasy","English","G",2007,8
"Batman Begins ","Action|Adventure","English","PG-13",2005,8.3
"Madagascar: Escape 2 Africa ","Action|Adventure|Animation|Comedy|Family","English","PG",2008,6.7
"Night at the Museum: Battle of the Smithsonian ","Adventure|Comedy|Family|Fantasy","English","PG",2009,5.9
"X-Men Origins: Wolverine ","Action|Adventure|Fantasy|Sci-Fi|Thriller","English","PG-13",2009,6.7
"The Matrix Revolutions ","Action|Sci-Fi","English","R",2003,6.7
"Frozen ","Adventure|Animation|Comedy|Family|Fantasy|Musical","English","PG",2013,7.6
"The Matrix Reloaded ","Action|Sci-Fi","English","R",2003,7.2
"Thor: The Dark World ","Action|Adventure|Fantasy","English","PG-13",2013,7.1
"Mad Max: Fury Road ","Action|Adventure|Sci-Fi|Thriller","English","R",2015,8.1
"Angels & Demons ","Mystery|Thriller","English","PG-13",2009,6.7
"Thor ","Action|Adventure|Fantasy","English","PG-13",2011,7
"Bolt ","Adventure|Animation|Comedy|Drama|Family","English","PG",2008,6.9
"G-Force ","Action|Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi","English","PG",2009,5.1
"Wrath of the Titans ","Action|Adventure|Fantasy","English","PG-13",2012,5.8
"Dark Shadows ","Comedy|Fantasy|Horror","English","PG-13",2012,6.2
"Mission: Impossible - Rogue Nation ","Action|Adventure|Thriller","English","PG-13",2015,7.4
"The Wolfman ","Drama|Fantasy|Horror|Thriller","English","R",2010,5.8
"The Legend of Tarzan ","Action|Adventure|Drama|Romance","English","PG-13",2016,6.6
"Bee Movie ","Adventure|Animation|Comedy|Family","English","PG",2007,6.2
"Kung Fu Panda 2 ","Action|Adventure|Animation|Comedy|Family","English","PG",2011,7.3
"The Last Airbender ","Action|Adventure|Family|Fantasy","English","PG",2010,4.2
"Mission: Impossible III ","Action|Adventure|Thriller","English","PG-13",2006,6.9
"White House Down ","Action|Drama|Thriller","English","PG-13",2013,6.4
"Mars Needs Moms ","Action|Adventure|Animation|Comedy|Family|Sci-Fi","English","PG",2011,5.4
"Flushed Away ","Adventure|Animation|Comedy|Family","English","PG",2006,6.7
"Pan ","Adventure|Family|Fantasy","English","PG",2015,5.8
"Mr. Peabody & Sherman ","Adventure|Animation|Comedy|Family|Sci-Fi","English","PG",2014,6.9
"Troy ","Adventure","English","R",2004,7.2
"Madagascar 3: Europe's Most Wanted ","Adventure|Animation|Comedy|Family","English","PG",2012,6.9
"Die Another Day ","Action|Adventure|Thriller","English","PG-13",2002,6.1
"Ghostbusters ","Action|Comedy|Fantasy|Sci-Fi","English","PG-13",2016,5.5
"Armageddon ","Action|Adventure|Sci-Fi|Thriller","English","PG-13",1998,6.6
"Men in Black II ","Action|Adventure|Comedy|Family|Fantasy|Mystery|Sci-Fi","English","PG-13",2002,6.1
"Beowulf ","Action|Adventure|Animation|Fantasy","English","PG-13",2007,6.3
"Kung Fu Panda 3 ","Action|Adventure|Animation|Comedy|Family","English","PG",2016,7.2
"Mission: Impossible - Ghost Protocol ","Action|Adventure|Thriller","English","PG-13",2011,7.4
"Rise of the Guardians ","Adventure|Animation|Family|Fantasy","English","PG",2012,7.3
"Fun with Dick and Jane ","Comedy|Crime","English","PG-13",2005,6.1
"The Last Samurai ","Action|Drama|History|War","English","R",2003,7.7
"Exodus: Gods and Kings ","Action|Adventure|Drama","English","PG-13",2014,6.1
"Star Trek ","Action|Adventure|Sci-Fi","English","PG-13",2009,8
"Spider-Man ","Action|Adventure|Fantasy|Romance","English","PG-13",2002,7.3
"How to Train Your Dragon 2 ","Action|Adventure|Animation|Comedy|Family|Fantasy","English","PG",2014,7.9
"Gods of Egypt ","Action|Adventure|Fantasy","English","PG-13",2016,5.5
"Stealth ","Action|Adventure|Sci-Fi|Thriller","English","PG-13",2005,5
"Watchmen ","Action|Drama|Mystery|Sci-Fi","English","R",2009,7.7
"Lethal Weapon 4 ","Action|Crime|Thriller","English","R",1998,6.6
"Hulk ","Action|Sci-Fi","English","PG-13",2003,5.7
"G.I. Joe: Retaliation ","Action|Adventure|Sci-Fi|Thriller","English","PG-13",2013,5.8
"Sahara ","Action|Adventure|Comedy|Thriller","English","PG-13",2005,6
"Final Fantasy: The Spirits Within ","Action|Adventure|Animation|Fantasy|Romance|Sci-Fi","English","PG-13",2001,6.4
"Captain America: The First Avenger ","Action|Adventure|Sci-Fi","English","PG-13",2011,6.9
"The World Is Not Enough ","Action|Adventure|Thriller","English","PG-13",1999,6.4
"Master and Commander: The Far Side of the World ","Action|Adventure|Drama|History|War","English","PG-13",2003,7.4
"The Twilight Saga: Breaking Dawn - Part 2 ","Adventure|Drama|Fantasy|Romance","English","PG-13",2012,5.5
"Happy Feet 2 ","Animation|Comedy|Family|Musical","English","PG",2011,5.9
"The Incredible Hulk ","Action|Adventure|Sci-Fi","English","PG-13",2008,6.8
"Miami Vice             ","Action|Crime|Drama|Mystery|Thriller","English","TV-14",NA,7.5
"The BFG ","Adventure|Family|Fantasy","English","PG",2016,6.8
"The Revenant ","Adventure|Drama|Thriller|Western","English","R",2015,8.1
"Turbo ","Adventure|Animation|Comedy|Family|Sport","English","PG",2013,6.5
"Rango ","Adventure|Animation|Comedy|Family|Western","English","PG",2011,7.2
"Penguins of Madagascar ","Adventure|Animation|Comedy|Family","English","PG",2014,6.7
"The Bourne Ultimatum ","Action|Mystery|Thriller","English","PG-13",2007,8.1
"Kung Fu Panda ","Action|Adventure|Animation|Comedy|Family","English","PG",2008,7.6
"Ant-Man ","Action|Adventure|Comedy|Sci-Fi","English","PG-13",2015,7.4
"The Hunger Games: Catching Fire ","Adventure|Sci-Fi|Thriller","English","PG-13",2013,7.6
"The Twilight Saga: Breaking Dawn - Part 2 ","Adventure|Drama|Fantasy|Romance","English","PG-13",2012,5.5
"Home ","Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi","English","PG",2015,6.7
"War of the Worlds ","Adventure|Sci-Fi|Thriller","English","PG-13",2005,6.5
"Bad Boys II ","Action|Comedy|Crime|Thriller","English","R",2003,6.6
"Puss in Boots ","Action|Adventure|Animation|Comedy|Family|Fantasy","English","PG",2011,6.7
"Salt ","Action|Crime|Mystery|Thriller","English","PG-13",2010,6.4
"Noah ","Action|Adventure|Drama","English","PG-13",2014,5.8
"The Adventures of Tintin ","Action|Adventure|Family|Mystery","English","PG",2011,7.4
"Harry Potter and the Prisoner of Azkaban ","Adventure|Family|Fantasy|Mystery","English","PG",2004,7.8
"Australia ","Adventure|Drama|Romance|War","English","PG-13",2008,6.6
"After Earth ","Action|Adventure|Sci-Fi","English","PG-13",2013,4.9
"Dinosaur ","Adventure|Animation|Family|Thriller","English","PG",2000,6.5
"Harry Potter and the Deathly Hallows: Part II ","Action|Fantasy","English","",2011,7.5
"Night at the Museum: Secret of the Tomb ","Adventure|Comedy|Family|Fantasy","English","PG",2014,6.2
"Megamind ","Action|Animation|Comedy|Family|Sci-Fi","English","PG",2010,7.3
"Harry Potter and the Sorcerer's Stone ","Adventure|Family|Fantasy","English","PG",2001,7.5
"R.I.P.D. ","Action|Comedy|Fantasy","English","PG-13",2013,5.6
"Godzilla Resurgence ","Action|Adventure|Drama|Horror|Sci-Fi","Japanese","",2016,8.2
"Pirates of the Caribbean: The Curse of the Black Pearl ","Action|Adventure|Fantasy","English","PG-13",2003,8.1
"Harry Potter and the Deathly Hallows: Part I ","Fantasy","English","",2010,6.4
"The Hunger Games: Mockingjay - Part 1 ","Adventure|Sci-Fi|Thriller","English","PG-13",2014,6.7
"The Da Vinci Code ","Mystery|Thriller","English","PG-13",2006,6.6
"Rio 2 ","Adventure|Animation|Comedy|Family|Musical","English","G",2014,6.4
"X-Men 2 ","Action|Adventure|Fantasy|Sci-Fi|Thriller","English","PG-13",2003,7.5
"Fast Five ","Action|Crime|Thriller","English","PG-13",2011,7.3
"Sherlock Holmes: A Game of Shadows ","Action|Adventure|Crime|Mystery|Thriller","English","PG-13",2011,7.5
"Clash of the Titans ","Action|Adventure|Fantasy","English","PG-13",2010,5.8
"Total Recall ","Action|Sci-Fi","English","R",1990,7.5
"The 13th Warrior ","Action|Adventure|History","English","R",1999,6.6
"The Bourne Legacy ","Action|Adventure|Thriller","English","PG-13",2012,6.7
"Batman & Robin ","Action","English","PG-13",1997,3.7
"How the Grinch Stole Christmas ","Comedy|Family|Fantasy","English","PG",2000,6
"The Day After Tomorrow ","Action|Adventure|Sci-Fi|Thriller","English","PG-13",2004,6.4
"Mission: Impossible II ","Action|Adventure|Thriller","English","PG-13",2000,6.1
"The Perfect Storm ","Action|Adventure|Drama|Thriller","English","PG-13",2000,6.4
"Fantastic 4: Rise of the Silver Surfer ","Action|Adventure|Sci-Fi|Thriller","English","PG",2007,5.6
"Life of Pi ","Adventure|Drama|Fantasy","English","PG",2012,8
"Ghost Rider ","Action|Fantasy|Thriller","English","PG-13",2007,5.2
"Jason Bourne ","Action|Thriller","English","PG-13",2016,7.1
"Charlie's Angels: Full Throttle ","Action|Adventure|Comedy|Crime","English","PG-13",2003,4.8
"Prometheus ","Adventure|Mystery|Sci-Fi","English","R",2012,7
"Stuart Little 2 ","Adventure|Animation|Comedy|Family|Fantasy","English","PG",2002,5.4
"Elysium ","Action|Drama|Sci-Fi|Thriller","English","R",2013,6.6
"The Chronicles of Riddick ","Action|Adventure|Sci-Fi|Thriller","English","PG-13",2004,6.7
"RoboCop ","Action|Crime|Sci-Fi|Thriller","English","PG-13",2014,6.2
"Speed Racer ","Action|Family|Sport","English","PG",2008,6.1
"How Do You Know ","Comedy|Drama|Romance","English","PG-13",2010,5.3
"Knight and Day ","Action|Comedy|Romance","English","PG-13",2010,6.3
"Oblivion ","Action|Adventure|Mystery|Sci-Fi","English","PG-13",2013,7
"Star Wars: Episode III - Revenge of the Sith ","Action|Adventure|Fantasy|Sci-Fi","English","PG-13",2005,7.6
"Star Wars: Episode II - Attack of the Clones ","Action|Adventure|Fantasy|Sci-Fi","English","PG",2002,6.7
"Monsters, Inc. ","Adventure|Animation|Comedy|Family|Fantasy","English","G",2001,8.1
"The Wolverine ","Action|Adventure|Sci-Fi|Thriller","English","PG-13",2013,6.7
"Star Wars: Episode I - The Phantom Menace ","Action|Adventure|Fantasy|Sci-Fi","English","PG",1999,6.5
"The Croods ","Adventure|Animation|Comedy|Family|Fantasy","English","PG",2013,7.3
"Asterix at the Olympic Games ","Adventure|Comedy|Family|Fantasy","French","",2008,5.1
"Windtalkers ","Action|Drama|War","English","R",2002,6
"The Huntsman: Winter's War ","Action|Adventure|Drama|Fantasy","English","PG-13",2016,6.1
"Teenage Mutant Ninja Turtles ","Action|Adventure|Comedy|Sci-Fi","English","PG-13",2014,5.9
"Gravity ","Adventure|Drama|Sci-Fi|Thriller","English","PG-13",2013,7.8
"Dante's Peak ","Action|Adventure|Thriller","English","PG-13",1997,5.8
"Teenage Mutant Ninja Turtles: Out of the Shadows ","Action|Adventure|Comedy|Sci-Fi","English","PG-13",2016,6.3
"Fantastic Four ","Action|Adventure|Sci-Fi","English","PG-13",2015,4.3
"Night at the Museum ","Action|Adventure|Comedy|Family|Fantasy","English","PG",2006,6.4
"San Andreas ","Action|Adventure|Drama|Thriller","English","PG-13",2015,6.1
"Tomorrow Never Dies ","Action|Adventure|Thriller","English","PG-13",1997,6.5
"The Patriot ","Action|Drama|History|War","English","R",2000,7.1
"Ocean's Twelve ","Crime|Thriller","English","PG-13",2004,6.4
"Mr. & Mrs. Smith ","Action|Comedy|Crime|Romance|Thriller","English","PG-13",2005,6.5
"Insurgent ","Adventure|Sci-Fi|Thriller","English","PG-13",2015,6.3
"The Aviator ","Biography|Drama","English","PG-13",2004,7.5
"Gulliver's Travels ","Adventure|Comedy|Family|Fantasy","English","PG",2010,4.9
"The Green Hornet ","Action|Comedy|Crime|Sci-Fi|Thriller","English","PG-13",2011,5.8
"The A-Team             ","Action|Adventure|Crime","English","TV-PG",NA,7.6
"300: Rise of an Empire ","Action|Drama|Fantasy|War","English","R",2014,6.2
"The Smurfs ","Adventure|Animation|Comedy|Family|Fantasy","English","PG",2011,5.5
"Home on the Range ","Animation|Comedy|Family|Music|Western","English","PG",2004,5.4
"Allegiant ","Action|Adventure|Mystery|Sci-Fi|Thriller","English","PG-13",2016,5.8
"Real Steel ","Action|Drama|Sci-Fi|Sport","English","PG-13",2011,7.1
"The Smurfs 2 ","Adventure|Animation|Comedy|Family|Fantasy","English","PG",2013,5.4
"Speed 2: Cruise Control ","Action|Crime|Romance|Thriller","English","PG-13",1997,3.7
"Ender's Game ","Action|Sci-Fi","English","PG-13",2013,6.7
"Live Free or Die Hard ","Action|Adventure|Thriller","English","PG-13",2007,7.2
"The Lord of the Rings: The Fellowship of the Ring ","Action|Adventure|Drama|Fantasy","English","PG-13",2001,8.8
"Around the World in 80 Days ","Action|Adventure|Comedy","English","PG",2004,5.8
"Ali ","Biography|Drama|Sport","English","R",2001,6.8
"The Cat in the Hat ","Adventure|Comedy|Family|Fantasy","English","PG",2003,3.8
"I, Robot ","Action|Mystery|Sci-Fi|Thriller","English","PG-13",2004,7.1
"Kingdom of Heaven ","Action|Adventure|Drama|History|War","English","R",2005,7.2
"Stuart Little ","Adventure|Comedy|Family|Fantasy","English","PG",1999,5.9
"The Princess and the Frog ","Animation|Family|Fantasy|Musical|Romance","English","G",2009,7.1
"The Martian ","Adventure|Drama|Sci-Fi","English","PG-13",2015,8.1
"10,000 B.C.             ","Comedy","","",NA,7.2
"The Island ","Action|Adventure|Romance|Sci-Fi|Thriller","English","PG-13",2005,6.9
"Town & Country ","Comedy|Romance","English","R",2001,4.4
"Gone in Sixty Seconds ","Action|Crime|Thriller","English","PG-13",2000,6.5
"Gladiator ","Action|Drama|Romance","English","R",2000,8.5
"Minority Report ","Action|Mystery|Sci-Fi|Thriller","English","PG-13",2002,7.7
"Harry Potter and the Chamber of Secrets ","Adventure|Family|Fantasy|Mystery","English","PG",2002,7.4
"Casino Royale ","Action|Adventure|Thriller","English","PG-13",2006,8
"Planet of the Apes ","Action|Adventure|Sci-Fi|Thriller","English","PG-13",2001,5.7
"Terminator 2: Judgment Day ","Action|Sci-Fi","English","R",1991,8.5
"Public Enemies ","Biography|Crime|Drama|History|Romance","English","R",2009,7
"American Gangster ","Biography|Crime|Drama","English","R",2007,7.8
"True Lies ","Action|Comedy|Thriller","English","R",1994,7.2
"The Taking of Pelham 1 2 3 ","Action|Crime|Thriller","English","R",2009,6.4
"Little Fockers ","Comedy|Romance","English","PG-13",2010,5.5
"The Other Guys ","Action|Comedy|Crime","English","PG-13",2010,6.7
"Eraser ","Action|Drama|Mystery|Thriller","English","R",1996,6.1
"Django Unchained ","Drama|Western","English","R",2012,8.5
"The Hunchback of Notre Dame ","Animation|Drama|Family|Musical|Romance","English","G",1996,6.9
"The Emperor's New Groove ","Adventure|Animation|Comedy|Family|Fantasy","English","G",2000,7.3
"The Expendables 2 ","Action|Adventure|Thriller","English","R",2012,6.7
"National Treasure ","Action|Adventure|Comedy|Family|Mystery","English","PG",2004,6.9
"Eragon ","Action|Adventure|Family|Fantasy","English","PG",2006,5.1
"Where the Wild Things Are ","Adventure|Drama|Family|Fantasy","English","PG",2009,6.8
"Pan ","Adventure|Family|Fantasy","English","PG",2015,5.8
"Epic ","Adventure|Animation|Family|Fantasy","English","PG",2013,6.7
"The Tourist ","Action|Romance|Thriller","English","PG-13",2010,6
"End of Days ","Action|Fantasy|Horror|Mystery","English","R",1999,5.7
"Blood Diamond ","Adventure|Drama|Thriller","English","R",2006,8
"The Wolf of Wall Street ","Biography|Comedy|Crime|Drama","English","R",2013,8.2
"Batman Forever ","Action|Adventure|Fantasy","English","PG-13",1995,5.4
"Starship Troopers ","Action|Sci-Fi|War","English","R",1997,7.2
"Cloud Atlas ","Drama|Sci-Fi","English","R",2012,7.5
"Legend of the Guardians: The Owls of Ga'Hoole ","Action|Adventure|Animation|Family|Fantasy","English","PG",2010,7
"Catwoman ","Action|Crime|Fantasy|Romance|Thriller","English","PG-13",2004,3.3
"Hercules ","Action|Adventure","English","PG-13",2014,6
"Treasure Planet ","Adventure|Animation|Family|Sci-Fi","English","PG",2002,7.1
"Land of the Lost ","Adventure|Comedy|Sci-Fi","English","PG-13",2009,5.4
"The Expendables 3 ","Action|Adventure|Thriller","English","PG-13",2014,6.1
"Point Break ","Action|Crime|Sport|Thriller","English","PG-13",2015,5.3
"Son of the Mask ","Comedy|Family|Fantasy","English","PG",2005,2.2
"In the Heart of the Sea ","Action|Adventure|Biography|Drama|History|Thriller","English","PG-13",2015,7
"The Adventures of Pluto Nash ","Action|Comedy|Sci-Fi","English","PG-13",2002,3.8
"Green Zone ","Action|Drama|Thriller|War","English","R",2010,6.9
"The Peanuts Movie ","Adventure|Animation|Comedy|Family","English","G",2015,7.2
"The Spanish Prisoner ","Drama|Mystery|Thriller","English","PG",1997,7.3
"The Mummy Returns ","Action|Adventure|Fantasy|Thriller","English","PG-13",2001,6.3
"Gangs of New York ","Crime|Drama","English","R",2002,7.5
"The Flowers of War ","Drama|History|Romance|War","Mandarin","R",2011,7.6
"Surf's Up ","Animation|Comedy|Family|Sport","English","PG",2007,6.8
"The Stepford Wives ","Comedy|Sci-Fi|Thriller","English","PG-13",2004,5.2
"Black Hawk Down ","Drama|History|War","English","R",2001,7.7
"The Campaign ","Comedy","English","R",2012,6.2
"The Fifth Element ","Action|Adventure|Sci-Fi","English","PG-13",1997,7.7
"Sex and the City 2 ","Comedy|Drama|Romance","English","R",2010,4.3
